ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating
815,Barbell forehead curl,"The barbell forehead curl is a classic movement from the Golden Age of bodybuilding and is often associated with Dave ""The Blond Bomber"" Draper. The barbell is brought up to your forehead instead of to your chest, emphasizing the squeeze and peak contraction. It is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Other,Intermediate,9.0
816,Overhead cable curl,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.",Strength,Biceps,Cable,Intermediate,9.0
817,Standing One-Arm Cable Curl,The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.,Strength,Biceps,Cable,Beginner,8.8
818,Reverse Cable Curl,"Biceps exercise where the cable is pulled in a reverse motion, targeting the brachialis and brachioradialis muscles.",Strength,Biceps,Cable,Beginner,8.7
819,Standing Biceps Cable Curl,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.5
820,Cable rope hammer curl,"The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weight stack. It uses a neutral (palms facing one another) grip, which targets the forearms and brachialis muscles in addition to the biceps. Because grip is a limitation, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Biceps,Cable,Intermediate,8.2
821,Lying cable biceps curl,"The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.",Strength,Biceps,Cable,Beginner,8.2
822,Cable rope preacher hammer curl,"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.",Strength,Biceps,Cable,Beginner,7.5
823,Lying Close-Grip Bar Curl On High Pulley,The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.,Strength,Biceps,Cable,Beginner,7.1
824,Cable EZ-Bar Preacher Curl - Gethin Variation,"The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack and a preacher bench. It is popular in muscle-building arm workouts because the angle of the bench effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.",Strength,Biceps,Cable,Intermediate,8.566666666666666
825,Squatting cable EZ-bar biceps curl,"The squatting cable EZ-bar biceps curl is an exercise that builds and strengthens the biceps while the lower body is in a static squat position. It is usually performed for higher rep sets, such as 8-12 reps per set or more, in combination with other curls or arm training. It is most similar in arm positioning to a preacher curl, but has some unique benefits to the lower body, as well.",Strength,Biceps,Cable,Intermediate,8.566666666666666
826,Cable straight-bar biceps curl,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666666
827,Standing reverse-grip cable curl,"The standing reverse-grip cable curl takes a classic bodybuilding exercise, the reverse barbell curl, and tweaks it by using a handle attached to a cable stack instead. It targets the forearm muscles and brachialis to a greater degree than underhand biceps curl variations. Because grip is a limitation, this move is commonly performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666665
828,Lying high-cable biceps curl,The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.,Strength,Biceps,Cable,Intermediate,8.566666666666665
829,High-Pulley Cable Curl - Gethin Variation,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.",Strength,Biceps,Cable,Intermediate,8.566666666666666
830,Standing High Cable Curl - Gethin Variation,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666666
831,High Cable Curls,The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.,Strength,Biceps,Cable,Intermediate,8.566666666666666
832,Seated cable biceps curl,The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps eliminate the use of momentum. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,Strength,Biceps,Cable,Intermediate,8.566666666666666
833,Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.,Strength,Biceps,Cable,Intermediate,8.566666666666666
834,Standing Cable Curl - Gethin Variation,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666666
835,Double Arm Cable Biceps Curl,"Biceps exercise using a cable machine with both arms simultaneously, providing constant tension throughout the movement.",Strength,Biceps,Cable,Intermediate,8.566666666666666
836,AM Cable Biceps Curl,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666666
837,Single-arm cable biceps curl,"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an arm-focused workout.",Strength,Biceps,Cable,Intermediate,8.566666666666666
838,UP Cable Curl With Straight Bar,"Biceps exercise using a straight bar attachment on a cable machine, targeting the biceps muscles.",Strength,Biceps,Cable,Intermediate,8.566666666666666
839,30 Arms Cable Rope Hammer Curl,"Biceps exercise using a rope attachment on a cable machine, mimicking a hammer curl motion for forearm and biceps development.",Strength,Biceps,Cable,Intermediate,8.566666666666666
840,30 Arms Squatting Cable Straight-Bar Curl,"Biceps exercise performed in a squatting position using a straight bar attachment on a cable machine, engaging core and lower body muscles.",Strength,Biceps,Cable,Intermediate,8.566666666666666
841,30 Arms High Cable Curl,"Biceps exercise using a high cable pulley, targeting the upper portion of the biceps muscles.",Strength,Biceps,Cable,Intermediate,8.566666666666666
842,30 Arms Cable Straight-Bar Curl,"Biceps exercise using a straight bar attachment on a cable machine, targeting the biceps muscles.",Strength,Biceps,Cable,Intermediate,8.566666666666666
843,30 Arms Cable Concentration Curl,"Biceps exercise performed using a cable machine with a concentration curl motion, isolating and targeting the biceps muscles.",Strength,Biceps,Cable,Intermediate,8.566666666666666
844,30 Arms BFR High Cable Curl,"Biceps exercise using blood flow restriction (BFR) training with a high cable pulley, enhancing muscle hypertrophy with lighter weights.",Strength,Biceps,Cable,Intermediate,8.566666666666666
845,BFR cable rope hammer curl,"The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack, rope grip, and blood flow restriction bands. It is popular in high-rep ""pump""-style arm workouts. The bands should be placed as high as possible on your arms, at a tightness of no greater than 8 on a scale of 10. Most BFR workouts recommend using a far lighter weight than usual, perhaps as low as 25-50 percent of a normal working weight.",Strength,Biceps,Cable,Intermediate,8.566666666666666
846,Machine Bicep Curl,"Biceps exercise performed using a machine with handles or pads, providing controlled resistance for muscle contraction.",Strength,Biceps,Machine,Beginner,9.0
847,Machine Preacher Curls,The machine preacher curl is an isolation exercise targeting the biceps.,Strength,Biceps,Machine,Beginner,8.3
848,Single-arm machine preacher curl,"The single-arm machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Biceps,Machine,Intermediate,8.825
849,Machine preacher curl,"The machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Biceps,Machine,Intermediate,8.825
850,Smith machine drag curl,"The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in moderate to high reps, at least 8-15 reps per set, and can work in the biceps-focused portion of any workout.",Strength,Biceps,Machine,Intermediate,8.825000000000001
851,30 Arms BFR Machine Preacher Curl,"Biceps exercise using blood flow restriction (BFR) training with a machine preacher curl, promoting muscle growth with reduced blood flow.",Strength,Biceps,Machine,Intermediate,8.825000000000001
852,Seated Biceps,"Biceps exercise performed in a seated position, often using dumbbells or a barbell, targeting the biceps muscles with support from the backrest.",Stretching,Biceps,Body Only,Beginner,5.0
853,TBS Chin-Up,"The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a grip that is narrower than shoulder-width. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand pull-ups. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand.",Strength,Biceps,Body Only,Intermediate,9.0
854,Pull-up - Gethin Variation,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.",Strength,Biceps,Body Only,Intermediate,9.0
855,UN Pull-Up Supinated,"Pull-up variation with a supinated (underhand) grip, targeting the biceps muscles along with the back and arms.",Strength,Biceps,Body Only,Intermediate,9.0
856,UN Pull-Up Pronated,"Pull-up variation with a pronated (overhand) grip, targeting primarily the back muscles while engaging the biceps.",Strength,Biceps,Body Only,Intermediate,9.0
857,UN Pull-Up Neutral,"Pull-up variation with a neutral grip, targeting multiple muscles including the back, biceps, and forearms.",Strength,Biceps,Body Only,Intermediate,9.0
858,EZ-Bar Curl,"The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,9.1
859,Reverse Barbell Preacher Curls,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Strength,Biceps,E-Z Curl Bar,Beginner,8.8
860,Close-Grip EZ-Bar Curl with Band,"Biceps exercise combining an EZ-bar curl with resistance from bands, increasing tension throughout the movement.",Strength,Biceps,E-Z Curl Bar,Beginner,7.9
861,Standing EZ-Bar Curl - Gethin Variation,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.6
862,TBS EZ-Bar Curl,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.6
863,Standing EZ-bar curl,"The standing EZ-bar curl is a popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper-body or arm-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.599999999999998
864,30 Arms Standing Overhand EZ-Bar Curl,"Biceps exercise using an EZ-bar with an overhand grip, targeting the biceps and forearms.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.599999999999998
865,30 Arms EZ-Bar Spider Curl,"Biceps exercise performed lying face down on an incline bench with an EZ-bar, isolating the biceps muscles.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.599999999999998
866,30 Arms EZ-Bar Preacher Curl,"Biceps exercise performed on a preacher bench with an EZ-bar, emphasizing isolation and targeting the biceps muscles.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.599999999999998
867,30 Arms Standing EZ-Bar Curl,"Biceps exercise performed standing with an EZ-bar, targeting the biceps muscles while engaging stabilizing muscles.",Strength,Biceps,E-Z Curl Bar,Intermediate,8.6
868,Calf Raises - With Bands,"Calf exercise involving calf raises while resistance bands are looped around the shoulders, providing added resistance.",Strength,Calves,Bands,Beginner,4.8
869,Peroneals Stretch,"Stretching exercise targeting the peroneal muscles on the outer side of the lower leg, improving flexibility and mobility.",Stretching,Calves,Bands,Intermediate,3.3
870,Posterior Tibialis Stretch,"Stretching exercise targeting the posterior tibialis muscle along the inner side of the lower leg, aiding in flexibility and preventing injuries.",Stretching,Calves,Bands,Intermediate,1.0
871,Calf SMR,"Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves.",Stretching,Calves,Foam Roll,Beginner,6.0
872,Rocking Standing Calf Raise,"Calf exercise involving calf raises while rocking forward and backward, challenging balance and engaging stabilizing muscles.",Strength,Calves,Barbell,Beginner,8.7
873,Standing barbell calf raise,"The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.",Strength,Calves,Barbell,Beginner,8.2
874,Barbell Seated Calf Raise,"Calf exercise performed seated with a barbell resting on the thighs, targeting the soleus muscle of the calf.",Strength,Calves,Barbell,Beginner,7.6
875,Smith machine standing calf raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Barbell,Intermediate,7.975
876,Calf Raise On A Dumbbell,"Calf exercise involving calf raises while standing on a dumbbell, providing an unstable surface to challenge balance and stability.",Strength,Calves,Dumbbell,Beginner,4.8
877,Standing Dumbbell Calf Raise,"The standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. It can be performed for time or for reps, either two dumbbells, or one if balance is a problem and you would like to use your free hand to hold a fixed object.",Strength,Calves,Dumbbell,Intermediate,6.566666666666666
878,Single-leg standing dumbbell calf raise,"The single-leg standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either with two dumbbells or with one if balance is a problem and you would like to use your free hand to hold a fixed object.",Strength,Calves,Dumbbell,Intermediate,6.566666666666666
879,Dumbbell walking calf raise,"The dumbbell walking calf raise is a dynamic exercise targeting the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for distance or for reps.",Strength,Calves,Dumbbell,Intermediate,6.5666666666666655
880,Balance Board,"Training device used to improve balance, coordination, and proprioception, often used in rehabilitation and athletic training programs.",Strength,Calves,Other,Beginner,7.5
881,Weighted donkey calf raise,"The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Strength,Calves,Other,Intermediate,7.4
882,Anterior Tibialis-SMR,"Self-myofascial release technique targeting the anterior tibialis muscle on the front of the lower leg, releasing tension and improving muscle function.",Stretching,Calves,Other,Beginner,5.3
883,Foot-SMR,"Self-myofascial release technique targeting the muscles and fascia of the foot, reducing muscle tension and improving mobility.",Stretching,Calves,Other,Beginner,2.7
884,Agility Ladder,"Training tool used for footwork drills and agility exercises, enhancing speed, coordination, and agility for various sports and activities.",Cardio,Calves,Other,Intermediate,7.3087301587301585
885,Single-leg machine seated calf raise,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Strength,Calves,Other,Intermediate,7.095833333333332
886,Smith Machine Calf Raise,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Machine,Intermediate,9.2
887,Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,9.0
888,Seated Calf Raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,8.7
889,Calf Press On The Leg Press Machine,"The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves.",Strength,Calves,Machine,Intermediate,8.7
890,Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,8.5
891,Smith Machine Reverse Calf Raises,"Calf exercise performed on a Smith machine, targeting the gastrocnemius muscles of the calf.",Strength,Calves,Machine,Beginner,7.3
892,Seated Single-Leg Calf Press - Gethin Variation,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Strength,Calves,Machine,Intermediate,8.866666666666665
893,Seated Calf Raise - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,8.866666666666665
894,Donkey Calf Raise - Gethin Variation,"The donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Strength,Calves,Machine,Intermediate,8.866666666666665
895,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.,Strength,Calves,Machine,Intermediate,8.866666666666665
896,Calf Press On A Hack Squat Machine - Gethin Variation,The hack squat calf raise is a variation of the standing calf raise to target them in a different manner than seated or fully standing.,Strength,Calves,Machine,Intermediate,8.866666666666665
897,Smith Machine Standing Calf Raises - Gethin Variation,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Machine,Intermediate,8.866666666666665
898,Hack squat calf raise,"The hack squat calf raise is a variation of the standing calf raise performed in a hack squat machine. This allows for heavy loading, but also shoulder comfort from the pads of the hack squat. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Strength,Calves,Machine,Intermediate,8.866666666666665
899,Seated Calf Press - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,8.866666666666664
900,Leg press calf raise,"The leg press calf raise is a variation of the standing calf raise performed in a leg press machine. This allows for heavy loading, but also shoulder comfort from the pads of the leg press. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Strength,Calves,Machine,Intermediate,8.866666666666664
901,Machine seated calf raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,8.866666666666664
902,30 Legs Seated Calf Raise,"Calf exercise performed seated, targeting the soleus muscle of the calf.",Strength,Calves,Machine,Intermediate,8.866666666666664
903,30 Legs Standing Calf Raise,"Calf exercise performed standing, targeting the gastrocnemius muscle of the calf.",Strength,Calves,Machine,Intermediate,8.866666666666664
904,Peroneals-SMR,Self-myofascial release technique targeting the peroneal muscles on the outer side of the lower leg,Stretching,Calves,Body Only,Intermediate,6.4
905,Knee Circles,Dynamic warm-up exercise involving rotating the knees in circular motions to improve mobility and circulation in the knee joints.,Stretching,Calves,Body Only,Beginner,6.3
906,Standing Gastrocnemius Calf Stretch,"Stretching exercise targeting the gastrocnemius muscle in the calf, performed in a standing position to increase flexibility.",Stretching,Calves,Body Only,Intermediate,5.6
907,Wall calf stretch,The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.,Stretching,Calves,Body Only,Intermediate,5.3
908,Seated Calf Stretch,"Stretching exercise targeting the calf muscles, performed in a seated position to isolate and stretch the muscles effectively.",Stretching,Calves,Body Only,Intermediate,4.1
909,Standing Calf Raise,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Body Only,Intermediate,6.870833333333333
910,Standing calf raise-,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Body Only,Intermediate,6.870833333333333
911,HM Left Calf-Spike Sumo Pulse,Dynamic calf exercise involving pulsing movements in a sumo stance to target and strengthen the left calf muscles.,Strength,Calves,Body Only,Intermediate,6.870833333333334
912,Ankle Circles,Dynamic warm-up exercise involving rotating the ankles in circular motions to improve ankle mobility and flexibility.,Stretching,Calves,Body Only,Beginner,7.2
913,Calf Stretch Elbows Against Wall,Stretching exercise for the calf muscles performed with elbows against a wall to increase the intensity of the stretch.,Stretching,Calves,Body Only,Beginner,4.9
914,Standing Soleus And Achilles Stretch,"Stretching exercise targeting the soleus and Achilles tendon, performed in a standing position to improve lower leg flexibility.",Stretching,Calves,Body Only,Beginner,4.2
915,Cross Over - With Bands,"Resistance band exercise involving crossing the bands in front of the body, targeting the chest and shoulders while providing resistance.",Strength,Chest,Bands,Beginner,8.3
916,Bench Press - With Bands,"Bench press exercise using resistance bands for added resistance, targeting the chest, shoulders, and triceps muscles.",Strength,Chest,Bands,Beginner,5.5
917,Bench Press With Short Bands,"Variation of bench press using short resistance bands attached to the barbell, adding resistance throughout the movement.",Powerlifting,Chest,Bands,Beginner,0.0
918,Feet-Elevated TRX Push-Up,"Push-up variation performed with feet elevated in TRX suspension straps, targeting the chest, shoulders, and triceps with added instability.",Strength,Chest,Bands,Beginner,0.0
919,Band-suspended kettlebell bench press,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Strength,Chest,Bands,Intermediate,0.0
920,HM Banded Cross-Over Pull,"Resistance band exercise involving crossing the bands in front of the body and pulling apart, targeting the chest and shoulders.",Strength,Chest,Bands,Intermediate,0.0
921,Rusin Band Pull-Apart,"Resistance band exercise involving pulling the bands apart horizontally, targeting the rear deltoids and upper back muscles.",Strength,Chest,Bands,Intermediate,0.0
922,UNS Banded Push-Up,"Push-up variation with resistance bands looped around the back, providing added resistance to the chest, shoulders, and triceps.",Strength,Chest,Bands,Intermediate,0.0
923,Taylor Band-Assisted One-Arm Push-Up,"Bench press variation with a wide grip and decline bench angle, targeting the lower chest and triceps muscles.",Strength,Chest,Bands,Intermediate,0.0
924,Incline band bench press,"The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Bands,Intermediate,0.0
925,Band push-up,"The band push-up is a progression of the popular bodyweight version of the exercise commonly used in military and tactical physical fitness tests. Adding the dynamic resistance of the band matches the strength curve of the push-up and helps build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength,Chest,Bands,Intermediate,0.0
926,Band chest fly,"Similar to the cable chest fly, the band chest fly is a single-joint movement that works the pectoral muscles. The fly is common in upper-body and chest-focused muscle-building workouts, and the band variation works well as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Bands,Intermediate,0.0
927,Close-grip bench press,"The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.",Strength,Chest,Barbell,Intermediate,9.1
928,Barbell Bench Press - Medium Grip,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength,Chest,Barbell,Intermediate,9.0
929,Decline barbell bench press,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Barbell,Intermediate,8.9
930,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Strength,Chest,Barbell,Beginner,8.9
931,Wide-Grip Decline Barbell Bench Press,"Bench press variation with a wide grip and decline bench angle, targeting the lower chest and triceps muscles.",Strength,Chest,Barbell,Beginner,8.9
932,Barbell Incline Bench Press Medium-Grip,The incline bench press is an upper body compound movement that targets the upper chest.,Strength,Chest,Barbell,Intermediate,8.8
933,Neck Press,"Shoulder exercise involving pressing a barbell overhead while lying on a bench, targeting the front deltoids with a focus on stabilizing the neck.",Strength,Chest,Barbell,Beginner,8.8
934,Front Raise And Pullover,"Combination exercise involving raising weights to shoulder height and then performing a pullover motion, targeting shoulders, chest, and back muscles.",Strength,Chest,Barbell,Beginner,8.3
